month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
1994-11,5.346,7.5,3.1,2.0,0.8
1994-12,6.089,14.8,4.6,0.6,0.4
1995-01,12.519,16.7,8.6,3.3,0.3
1995-02,7.895999999999999,19.0,5.1,1.2,0.3
1995-03,7.066,14.6,5.3,1.2,0.1
1995-04,6.828,8.5,6.3,3.1,0.1
1995-05,9.169,7.5,6.0,2.9,0.0
1995-06,2.229,7.1,0.9,0.2,0.0
1995-07,8.468,8.5,4.1,1.9,0.0
1995-08,4.346,4.5,1.9,1.7,0.0
1995-09,7.132,12.9,5.6,2.5,0.0
1995-10,1.3963636363636363,4.909090909090909,0.36363636363636365,0.0,1.7
1995-11,1.5590909090909089,5.2727272727272725,0.45454545454545453,0.0,1.0
1995-12,4.098181818181818,10.181818181818182,3.909090909090909,0.2727272727272727,1.2
1996-01,4.832727272727273,9.090909090909092,4.2727272727272725,0.8181818181818182,1.8
1996-02,5.333636363636364,12.0,4.0,0.9090909090909091,0.0
1996-03,2.0963636363636367,6.363636363636363,1.0909090909090908,0.0,0.1
1996-04,1.0545454545454545,2.727272727272727,0.2727272727272727,0.0,0.0
1996-05,5.1863636363636365,12.818181818181818,3.4545454545454546,1.4545454545454546,0.1
1996-06,1.1872727272727273,4.454545454545454,0.5454545454545454,0.0,0.0
1996-07,3.2409090909090907,4.0,2.0,1.4545454545454546,0.0
1996-08,6.58909090909091,8.636363636363637,5.0,2.0,0.0
1996-09,4.470909090909091,4.2727272727272725,2.5454545454545454,1.9090909090909092,0.0
1996-10,3.061818181818182,9.181818181818182,2.1818181818181817,0.0,0.4
1996-11,8.505454545454546,15.090909090909092,8.181818181818182,1.8181818181818181,0.0
1996-12,3.2345454545454544,11.636363636363637,1.0,0.0,0.8
1997-01,0.48500000000000004,2.6,0.0,0.0,1.5
1997-02,8.766,12.2,5.4,2.6,0.3
1997-03,0.9963636363636365,4.2727272727272725,0.09090909090909091,0.0,0.1
1997-04,1.420909090909091,3.909090909090909,0.9090909090909091,0.0,0.0
1997-05,9.38,12.818181818181818,7.181818181818182,3.909090909090909,0.0
1997-06,12.3,17.636363636363637,8.818181818181818,3.727272727272727,0.0
1997-07,2.3649999999999998,4.9,2.3,0.1,0.0
1997-08,11.694545454545453,6.0,4.545454545454546,2.727272727272727,0.0
1997-09,0.32181818181818184,1.0909090909090908,0.09090909090909091,0.0,0.0
1997-10,4.733636363636363,7.636363636363637,3.090909090909091,1.0,0.0
1997-11,7.0218181818181815,14.727272727272727,4.909090909090909,1.6363636363636365,1.7
1997-12,9.761818181818182,14.363636363636363,7.181818181818182,3.1818181818181817,0.1
1998-01,6.973999999999999,11.4,5.3,1.7,0.1111111111111111
1998-02,0.79,3.5555555555555554,0.0,0.0,0.7777777777777778
1998-03,2.382,6.7,1.2,0.3,0.0
1998-04,13.231,20.3,9.3,4.9,0.0
1998-05,1.759,5.6,0.5,0.0,0.0
1998-06,4.91,12.3,3.4,0.0,0.0
1998-07,4.089,8.1,3.1,1.1,0.0
1998-08,5.195,6.4,2.3,1.5,0.0
1998-09,10.001999999999999,15.0,8.8,3.6,0.0
1998-10,12.440999999999999,16.9,7.1,4.8,0.0
1998-11,3.253,9.7,1.6,0.5,0.5555555555555556
1998-12,5.325,16.9,2.3,0.1,0.1111111111111111
1999-01,5.090999999999999,12.1,3.3,1.0,0.25
1999-02,5.491,15.2,4.0,0.2,0.0
1999-03,3.779,11.7,1.8,0.0,0.0
1999-04,7.586,13.1,4.9,2.1,0.0
1999-05,8.145,7.2,4.6,2.7,0.0
1999-06,5.072,10.0,4.1,1.0,0.0
1999-07,3.8400000000000003,4.777777777777778,1.6666666666666667,1.3333333333333333,0.0
1999-08,5.703,9.8,3.6,1.8,0.0
1999-09,10.03,12.2,6.6,3.3,0.0
1999-10,5.064,10.2,4.4,0.8,0.5555555555555556
1999-11,3.776,9.1,1.7,1.0,0.5555555555555556
1999-12,15.513,19.0,12.4,6.0,0.0
2000-01,2.044,8.4,0.2,0.0,0.1111111111111111
2000-02,6.246,15.6,4.6,0.7,0.0
2000-03,3.9377777777777774,9.555555555555555,2.6666666666666665,0.4444444444444444,0.0
2000-04,9.778888888888888,16.666666666666668,5.111111111111111,3.5555555555555554,0.0
2000-05,8.187777777777777,13.333333333333334,4.222222222222222,2.4444444444444446,0.0
2000-06,2.9733333333333336,4.0,1.8888888888888888,1.7777777777777777,0.0
2000-07,14.3975,15.125,8.75,5.875,0.0
2000-08,5.488888888888889,7.222222222222222,3.6666666666666665,1.8888888888888888,0.0
